task_name,timestamp_us,state_or_value,type
Sensor,3307532,RUNNING,STATE
Sensor,3308062,RUNNING,STATE
Sensor,3357532,RUNNING,STATE
Sensor,3358062,RUNNING,STATE
Sensor,3407532,RUNNING,STATE
Sensor,3408062,RUNNING,STATE
Sensor,3457532,RUNNING,STATE
Sensor,3458062,RUNNING,STATE
SYSTEM_RAM,3507533,3040,RAM
Sensor,3507549,RUNNING,STATE
Sensor,3508080,RUNNING,STATE
Sensor,3557532,RUNNING,STATE
Sensor,3558062,RUNNING,STATE
Sensor,3607532,RUNNING,STATE
Sensor,3608062,RUNNING,STATE
Sensor,3657532,RUNNING,STATE
Sensor,3658062,RUNNING,STATE
Sensor,3707532,RUNNING,STATE
Sensor,3708062,RUNNING,STATE
Sensor,3757532,RUNNING,STATE
Sensor,3758062,RUNNING,STATE
Sensor,3807532,RUNNING,STATE
Sensor,3808062,RUNNING,STATE
Sensor,3857532,RUNNING,STATE
Sensor,3858062,RUNNING,STATE
Sensor,3907532,RUNNING,STATE
Sensor,3908062,RUNNING,STATE
Sensor,3957532,RUNNING,STATE
Sensor,3958062,RUNNING,STATE
SYSTEM_RAM,4007533,3040,RAM
Sensor,4007550,RUNNING,STATE
Sensor,4008080,RUNNING,STATE
Sensor,4057532,RUNNING,STATE
Sensor,4058062,RUNNING,STATE
Sensor,4107532,RUNNING,STATE
Sensor,4108062,RUNNING,STATE
Heavy,4157533,RUNNING,STATE
Blink,4157537,RUNNING,STATE
Sensor,4157541,RUNNING,STATE
Sensor,4157559,RUNNING,STATE
Sensor,4158089,RUNNING,STATE
Heavy,4207533,RUNNING,STATE
Sensor,4207549,RUNNING,STATE
Sensor,4208079,RUNNING,STATE
Sensor,4257532,RUNNING,STATE
Sensor,4258062,RUNNING,STATE
Sensor,4307532,RUNNING,STATE
Sensor,4308062,RUNNING,STATE
Sensor,4357532,RUNNING,STATE
Sensor,4358062,RUNNING,STATE
Sensor,4407532,RUNNING,STATE
Sensor,4408062,RUNNING,STATE
Sensor,4457532,RUNNING,STATE
Sensor,4458062,RUNNING,STATE
SYSTEM_RAM,4507533,3040,RAM
Sensor,4507550,RUNNING,STATE
Sensor,4508080,RUNNING,STATE
Sensor,4557532,RUNNING,STATE
Sensor,4558062,RUNNING,STATE
Sensor,4607532,RUNNING,STATE
Sensor,4608062,RUNNING,STATE
Sensor,4657532,RUNNING,STATE
Sensor,4658062,RUNNING,STATE
Sensor,4707532,RUNNING,STATE
Sensor,4708062,RUNNING,STATE
Sensor,4757532,RUNNING,STATE
Sensor,4758062,RUNNING,STATE
Sensor,4807532,RUNNING,STATE
Sensor,4808062,RUNNING,STATE
Sensor,4857532,RUNNING,STATE
Sensor,4858062,RUNNING,STATE
Sensor,4907532,RUNNING,STATE
Sensor,4908062,RUNNING,STATE
Sensor,4957532,RUNNING,STATE
Sensor,4958062,RUNNING,STATE
SYSTEM_RAM,5007535,3040,RAM
SYSTEM_RAM,5007551,3040,RAM
Sensor,5007568,RUNNING,STATE
Sensor,5008098,RUNNING,STATE
Sensor,5057532,RUNNING,STATE
Sensor,5058062,RUNNING,STATE
Sensor,5107532,RUNNING,STATE
Sensor,5108062,RUNNING,STATE
Sensor,5157532,RUNNING,STATE
Sensor,5158062,RUNNING,STATE
Heavy,5207533,RUNNING,STATE
Blink,5207537,RUNNING,STATE
Sensor,5207541,RUNNING,STATE
Sensor,5207559,RUNNING,STATE
Sensor,5208089,RUNNING,STATE
Heavy,5257533,RUNNING,STATE
Sensor,5257549,RUNNING,STATE
Sensor,5258079,RUNNING,STATE
Sensor,5307532,RUNNING,STATE
Sensor,5308062,RUNNING,STATE
Sensor,5357532,RUNNING,STATE
Sensor,5358062,RUNNING,STATE
Sensor,5407532,RUNNING,STATE
Sensor,5408062,RUNNING,STATE
Sensor,5457532,RUNNING,STATE
Sensor,5458062,RUNNING,STATE
SYSTEM_RAM,5507533,3040,RAM
Sensor,5507550,RUNNING,STATE
Sensor,5508080,RUNNING,STATE
Sensor,5557532,RUNNING,STATE
Sensor,5558062,RUNNING,STATE
Sensor,5607532,RUNNING,STATE
Sensor,5608062,RUNNING,STATE
Sensor,5657532,RUNNING,STATE
Sensor,5658062,RUNNING,STATE
Sensor,5707532,RUNNING,STATE
Sensor,5708062,RUNNING,STATE
Sensor,5757532,RUNNING,STATE
Sensor,5758062,RUNNING,STATE
Sensor,5807532,RUNNING,STATE
Sensor,5808062,RUNNING,STATE
Sensor,5857532,RUNNING,STATE
Sensor,5858062,RUNNING,STATE
Sensor,5907532,RUNNING,STATE
Sensor,5908062,RUNNING,STATE
Sensor,5957532,RUNNING,STATE
Sensor,5958062,RUNNING,STATE
SYSTEM_RAM,6007535,3040,RAM
SYSTEM_RAM,6007550,3040,RAM
